rank,component_id,group,score,direction,bbox_r0,bbox_c0,bbox_r1,bbox_c1,centroid_row_jpg,centroid_col_jpg,tifxyz_boundary_distance_px,tifxyz_invalid_overlap_fraction,tifxyz_touches_invalid_boundary,threshold,render_bg_min_distance_px,render_bg_overlap_fraction,bbox_near_black_fraction,any_dark_min_distance_px,touches_render_bg,stable_across_thresholds
15,638,suspected_black_edge,0.166563,horizontal,1916,805,1917,873,3832.95,1678.95,656.88,0.0,False,1,53.0,0.0,0.0,53.0,False,True
15,638,suspected_black_edge,0.166563,horizontal,1916,805,1917,873,3832.95,1678.95,656.88,0.0,False,4,53.0,0.0,0.0,53.0,False,True
15,638,suspected_black_edge,0.166563,horizontal,1916,805,1917,873,3832.95,1678.95,656.88,0.0,False,8,53.0,0.0,0.0,53.0,False,True
15,638,suspected_black_edge,0.166563,horizontal,1916,805,1917,873,3832.95,1678.95,656.88,0.0,False,12,53.0,0.0,0.0,53.0,False,True
15,638,suspected_black_edge,0.166563,horizontal,1916,805,1917,873,3832.95,1678.95,656.88,0.0,False,16,53.0,0.0,0.0,53.0,False,True
15,638,suspected_black_edge,0.166563,horizontal,1916,805,1917,873,3832.95,1678.95,656.88,0.0,False,24,53.0,0.0,0.0,53.0,False,True
15,638,suspected_black_edge,0.166563,horizontal,1916,805,1917,873,3832.95,1678.95,656.88,0.0,False,32,53.0,0.0,0.0,53.0,False,True
16,78,suspected_black_edge,0.166419,horizontal,334,10713,335,10771,668.9,21486.24,296.978,0.0,False,1,0.0,0.381356,0.389831,0.0,True,True
16,78,suspected_black_edge,0.166419,horizontal,334,10713,335,10771,668.9,21486.24,296.978,0.0,False,4,0.0,0.415254,0.423729,0.0,True,True
16,78,suspected_black_edge,0.166419,horizontal,334,10713,335,10771,668.9,21486.24,296.978,0.0,False,8,0.0,0.457627,0.474576,0.0,True,True
16,78,suspected_black_edge,0.166419,horizontal,334,10713,335,10771,668.9,21486.24,296.978,0.0,False,12,0.0,0.516949,0.516949,0.0,True,True
16,78,suspected_black_edge,0.166419,horizontal,334,10713,335,10771,668.9,21486.24,296.978,0.0,False,16,0.0,0.559322,0.559322,0.0,True,True
16,78,suspected_black_edge,0.166419,horizontal,334,10713,335,10771,668.9,21486.24,296.978,0.0,False,24,0.0,0.610169,0.610169,0.0,True,True
16,78,suspected_black_edge,0.166419,horizontal,334,10713,335,10771,668.9,21486.24,296.978,0.0,False,32,0.0,0.635593,0.635593,0.0,True,True
